          nEv  nVtx  nTrk      xVtx      yVtx       zVtx       trkPt    trkEta  trkNHit  trkNlayer  highPurity
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.622588 -1.296694        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.619402  1.341786        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.618758 -2.355117       10          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.616777  2.540431        8          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.616609  0.365181        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.616265 -0.354275        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.613627 -2.359290        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.613055  2.054670        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.612472  2.418802        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.610221  0.893197       13         10        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.606172  1.946438        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.604028  0.576816        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.603649  1.444123        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.598940 -2.306503        9          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.598749 -1.701169        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.598391  1.169223        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.598326  1.664403        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.595457  1.762555        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.595245  0.369047        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.589834  0.767281        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.582986  0.248093        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.580316 -1.758605        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.579783  2.190701        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.579348  2.399746        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.577983 -1.517028        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.575259 -1.995344        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.575008 -2.150712        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.568557 -2.002863        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.567750 -1.938502        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.567728 -0.765211        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.566059  1.128583        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.562254 -0.078193        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.557996  2.186369        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.546540  1.601902        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.545525  1.233243        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.541709  0.944950        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.541340  2.363822        9          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.541193  1.650264        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.541090  1.993974        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.538140  0.100432        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.537999  0.585111        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.537941  2.313261        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.537710  0.466586        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.529679  1.883394        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.528917 -2.055193        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.525983  2.405151        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.524800 -0.049614        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.524197 -0.877820        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.523721 -0.940609        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.519162 -1.030876        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.518873 -1.287202        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.518027  1.382919        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.517668  1.467603        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.517121  2.373307        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.515957  1.089092        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.515729 -1.939636        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.514686 -1.468490        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.512000 -0.477944        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.509091  2.064851        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.507700  2.200843        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.506422  0.143339        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.505820  1.106187        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.503925  2.114680        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.503619 -2.411451        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.503476  1.030084        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.503120 -1.508101        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.502522 -1.155155        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.499429 -0.175420        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.498887 -1.251756        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.495833 -0.580109        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.494022  1.037277        4          4        True
